"Group","Node","Degree","Betweenness","Closeness","Eigenvector","Modularity","Zi","Pi","Role"
"LS","OTU_2416",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2419",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_242",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2421",66,0,0.0151515151515152,2.25741754733591e-15,2,0,0,"Peripheral"
"LS","OTU_2437",42,0,0.0238095238095238,1.95807097660902e-18,3,0,0,"Peripheral"
"LS","OTU_2438",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2439",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_244",66,0,0.0151515151515152,2.24716844815494e-15,2,0,0,"Peripheral"
"LS","OTU_2444",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2448",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_2452",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_2490",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_2496",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_2497",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2502",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_2515",66,0,0.0151515151515152,2.40603464282277e-15,2,0,0,"Peripheral"
"LS","OTU_254",66,0,0.0151515151515152,2.40540478743257e-15,2,0,0,"Peripheral"
"LS","OTU_2543",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_2548",66,0,0.0151515151515152,2.41474136281685e-15,2,0,0,"Peripheral"
"LS","OTU_2552",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_2565",42,0,0.0238095238095238,1.54976604685731e-17,4,0,0,"Peripheral"
"LS","OTU_2568",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2590",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_261",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_2618",66,0,0.0151515151515152,2.55123025538027e-15,2,0,0,"Peripheral"
"LS","OTU_2619",66,0,0.0151515151515152,2.44348955756897e-15,2,0,0,"Peripheral"
"LS","OTU_262",66,0,0.0151515151515152,2.5501939400447e-15,2,0,0,"Peripheral"
"LS","OTU_27",66,0,0.0151515151515152,2.51378322951669e-15,2,0,0,"Peripheral"
"LS","OTU_275",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_278",66,0,0.0151515151515152,2.43820238685409e-15,2,0,0,"Peripheral"
"LS","OTU_306",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_308",66,0,0.0151515151515152,2.49238492703963e-15,2,0,0,"Peripheral"
"LS","OTU_339",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_416",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_420",11,0,0.0909090909090909,0,6,0,0,"Peripheral"
"LS","OTU_439",42,0,0.0238095238095238,2.98103156069637e-17,4,0,0,"Peripheral"
"LS","OTU_448",66,0,0.0151515151515152,2.4868264246391e-15,2,0,0,"Peripheral"
"LS","OTU_461",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_462",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_473",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_482",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_486",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_494",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_503",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_517",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_521",66,0,0.0151515151515152,2.48910842456904e-15,2,0,0,"Peripheral"
"LS","OTU_524",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_530",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_548",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_550",42,0,0.0238095238095238,2.38651121541327e-17,3,0,0,"Peripheral"
"LS","OTU_56",42,0,0.0238095238095238,1.52935534600471e-17,4,0,0,"Peripheral"
"LS","OTU_568",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_572",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_573",66,0,0.0151515151515152,2.48588132705583e-15,2,0,0,"Peripheral"
"LS","OTU_574",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_575",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_578",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_580",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_583",66,0,0.0151515151515152,2.42252471476164e-15,2,0,0,"Peripheral"
"LS","OTU_589",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_596",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_597",66,0,0.0151515151515152,2.42454185189522e-15,2,0,0,"Peripheral"
"LS","OTU_6",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_615",66,0,0.0151515151515152,2.31987633554789e-15,2,0,0,"Peripheral"
"LS","OTU_630",66,0,0.0151515151515152,2.48013035257249e-15,2,0,0,"Peripheral"
"LS","OTU_635",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_67",66,0,0.0151515151515152,2.38925563030951e-15,2,0,0,"Peripheral"
"LS","OTU_678",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_686",42,0,0.0238095238095238,7.6291956906731e-17,3,0,0,"Peripheral"
"LS","OTU_694",66,0,0.0151515151515152,2.26997894795999e-15,2,0,0,"Peripheral"
"LS","OTU_7",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_706",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_717",66,0,0.0151515151515152,2.3832447205548e-15,2,0,0,"Peripheral"
"LS","OTU_722",66,0,0.0151515151515152,2.50767714426948e-15,2,0,0,"Peripheral"
